Accuracy,AUC,F1,MCC,Fold,Model,Experiment
0.8481012658227848,0.9393103448275862,0.8064516129032258,0.6861639404397347,4,SVM,Synthetic_only_TSTR
0.9620253164556962,0.9993103448275862,0.9508196721311475,0.9229707470987366,4,XGBoost,Synthetic_only_TSTR
0.759493670886076,0.8158620689655172,0.6885245901639344,0.4950048540933063,5,LR,Real_only
0.7974683544303798,0.8648275862068966,0.6923076923076923,0.5524653172380237,5,RF,Real_only
0.6329113924050633,0.7758620689655172,0.49122807017543857,0.2043145171217496,5,SVM,Real_only
0.810126582278481,0.8724137931034482,0.7169811320754716,0.5818685894438711,5,XGBoost,Real_only
0.759493670886076,0.8951724137931034,0.6666666666666666,0.47881871529552883,5,LR,Real_plus_Synthetic_Balanced
0.8354430379746836,0.9151724137931035,0.7547169811320755,0.6389712212029591,5,RF,Real_plus_Synthetic_Balanced
0.6582278481012658,0.7917241379310345,0.12903225806451613,0.21161947784524246,5,SVM,Real_plus_Synthetic_Balanced
0.8860759493670886,0.9482758620689655,0.8421052631578947,0.7533229134693081,5,XGBoost,Real_plus_Synthetic_Balanced
0.9746835443037974,1.0,0.9666666666666667,0.9476626594569569,5,LR,Real_plus_All_Synthetic
0.9240506329113924,0.9868965517241379,0.8888888888888888,0.8369625188633718,5,RF,Real_plus_All_Synthetic
0.6582278481012658,0.8758620689655172,0.18181818181818182,0.1834597265460946,5,SVM,Real_plus_All_Synthetic
1.0,1.0,1.0,1.0,5,XGBoost,Real_plus_All_Synthetic
0.9493670886075949,1.0,0.9354838709677419,0.899157855153837,5,LR,Synthetic_only_TSTR
0.9113924050632911,0.9875862068965517,0.8852459016393442,0.8159792738473791,5,RF,Synthetic_only_TSTR
0.7341772151898734,0.9006896551724138,0.7272727272727273,0.5582495551398741,5,SVM,Synthetic_only_TSTR
0.9746835443037974,1.0,0.9666666666666667,0.9476626594569569,5,XGBoost,Synthetic_only_TSTR
